GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CoreBanking,io.diffblue.corebanking.datamanagement,WriteToDB,4,0,0,0,2,0,2,0,2,0
CoreBanking,io.diffblue.corebanking.datamanagement,ReadFromDB,176,0,0,0,27,0,4,0,4,0
CoreBanking,io.diffblue.corebanking.client,Client,64,14,4,0,10,5,5,2,3,2
CoreBanking,io.diffblue.corebanking.compliance.rules,ComplianceRule,47,20,4,0,13,6,7,2,5,2
CoreBanking,io.diffblue.corebanking.compliance.rules,ComplianceRuleBalanceAboveOrEqualToZero,16,3,2,0,5,1,2,1,1,1
CoreBanking,io.diffblue.corebanking.ui.menu,Menu,98,0,10,0,28,0,9,0,4,0
CoreBanking,io.diffblue.corebanking.ui.menu,AccountsMenu,66,0,6,0,17,0,9,0,5,0
CoreBanking,io.diffblue.corebanking.ui.menu,ComplianceMenu,45,0,4,0,12,0,6,0,3,0
CoreBanking,io.diffblue.corebanking.ui.menu,CoreBankingDataManagementMenu,50,0,4,0,15,0,6,0,3,0
CoreBanking,io.diffblue.corebanking.ui.menu,ClientsMenu,92,0,6,0,25,0,9,0,5,0
CoreBanking,io.diffblue.corebanking.ui.menu,MainMenu,83,0,6,0,20,0,8,0,3,0
CoreBanking,io.diffblue.corebanking.account,Account.AccountStatement,40,14,4,0,8,4,4,2,2,2
CoreBanking,io.diffblue.corebanking.account,AccountException,0,4,0,0,0,2,0,1,0,1
CoreBanking,io.diffblue.corebanking.account,Account,127,93,16,4,28,23,14,10,5,9
CoreBanking,io.diffblue.corebanking.account,Account.AccountState,0,15,0,0,0,3,0,1,0,1
CoreBanking,io.diffblue.corebanking.branch,Branch,0,42,0,2,0,15,0,8,0,7
CoreBanking,io.diffblue.corebanking.branch,BranchException,0,4,0,0,0,2,0,1,0,1
CoreBanking,io.diffblue.corebanking,CoreBankingException,0,4,0,0,0,2,0,1,0,1
CoreBanking,io.diffblue.corebanking,CoreBanking,114,0,8,0,28,0,12,0,8,0
CoreBanking,io.diffblue.corebanking,Util,29,0,2,0,6,0,3,0,2,0
CoreBanking,io.diffblue.corebanking.transaction,Transaction,88,0,2,0,23,0,9,0,8,0
CoreBanking,io.diffblue.corebanking.transaction,Transaction.TransactionState,21,0,0,0,4,0,1,0,1,0
CoreBanking,io.diffblue.corebanking.transaction,TransactionException,4,0,0,0,2,0,1,0,1,0
CoreBanking,io.diffblue.corebanking.transaction,CashTransaction,126,0,14,0,33,0,11,0,4,0
CoreBanking,io.diffblue.corebanking.transaction,CashTransaction.CashTransactionType,15,0,0,0,3,0,1,0,1,0
CoreBanking,io.diffblue.corebanking.transaction,BankTransaction,136,0,6,0,34,0,8,0,5,0
CoreBanking,io.diffblue.corebanking.compliance,CheckCompliance,30,25,4,2,8,7,5,3,3,2
CoreBanking,io.diffblue.corebanking.ui,CoreBankingTextUI,27,0,0,0,12,0,3,0,3,0
